State,All_Causes,Alzheimer's_disease,Cancer,Chronic_liver_disease_and_cirrhosis,CLRD,Diabetes,Diseases_of_Heart,Essential_hypertension_and_hypertensive_renal_disease,Homicide,Influenza_,Kidney_Disease,Parkinson's_disease,Pneumonitis_due_to_solids_and_liquids,Septicemia,Stroke,Suicide,Unintentional_Injuries,population,employed,unemployed,empl_civlab,empl_femaletot,empl_femalework,empl_children
Alabama,924.5,41.8,175.6,12.5,56.4,21.7,229.7,9.2,10.2,19.5,18.4,8.4,6,18.4,52.2,14.9,50.9,3846845,2242401,207097,2229422,2008388,1066407,337782
Alaska,747.4,16.7,159.8,15.4,37.8,23.9,154.1,7.2,8,8.4,10,8.7,4.6,7.4,36.8,26.9,57.9,565212,399077,31285,382393,267689,175811,63679
Arizona,671.8,35.8,141.3,15,43.8,25.3,138.8,11.6,5.5,9.5,5.5,8.8,3.1,5.4,30.7,18.2,49.2,5207123,3106324,275712,3089118,2639742,1440426,502325
Arkansas,901.8,41.5,185.4,12.1,62.4,24.7,223.2,9.4,7.4,20,19.8,7,4.7,15,46.8,19.1,49.6,2328384,1365791,104943,1361024,1198829,639171,218936
California,621.6,35.7,142.8,12.7,33.1,21.2,145.6,12.1,5,14.8,8.6,7.2,4.2,3.5,36.2,10.3,30.6,30312429,19269449,1891081,19137441,15365586,8804820,2908143
Colorado,665,31.3,134.4,12.2,47.8,15.9,128.4,5.1,3.7,12.3,8.5,9,6.6,8.2,34.9,19.5,49.7,4168824,2852439,195578,2820014,2088111,1312537,394562
Connecticut,656.1,19,146.2,8.4,29.7,13.9,147.8,6.4,3.6,13.6,12.1,7.2,7.9,13.7,28.5,9.9,44.8,2906229,1962170,172292,1953709,1505796,946961,225910
Delaware,741.5,22.6,165.6,9.6,42.5,18.1,165.2,5.4,7.5,16.1,14.5,7.3,6.3,12.2,39.4,12.6,46,744949,473007,36223,470039,388936,231452,64207
District of Columbia,748.6,19.2,167.5,8.8,23.4,25.7,187.6,13.4,17.5,16.2,9.9,5.5,5.6,13.8,38.3,4.9,40.2,546805,377072,35811,373626,290916,193028,45172
Florida,662.9,21.8,150.6,11.7,38.4,18.6,149.8,7.2,6.3,8.9,10.8,7.2,3.3,8.2,37.1,14.4,46.2,16077778,9510681,915976,9457267,8301024,4548140,1249831
Georgia,808.1,42.4,163,9,46.7,21.4,180.2,10.9,7.3,15.5,19.2,8.2,4.8,15.2,45.3,12.7,43.2,7792052,4906258,468932,4857206,4036710,2341749,773364
Hawaii,588.2,19.5,135.3,8.1,17.3,14.5,135.6,4.2,2.2,27.4,10.8,7.3,5,6.6,38.2,13.5,32.2,1130491,736939,42288,695572,562485,335025,103985
Idaho,727.8,31.6,153.6,12.2,46.3,22.1,156.4,5.8,2,12.4,8.7,9.8,5.5,4.7,36.3,22.1,44.7,1232564,774526,55312,771173,619001,352522,135685
Illinois,728.3,24.4,167.6,8.7,38.2,19.2,171.5,7.6,6.9,15.7,17.3,7.6,6.4,12.3,38.4,10.3,35.8,10201787,6712162,608516,6694742,5248245,3190169,935386
Indiana,833.9,33.1,176.3,11.4,55.4,26.9,182.3,9.1,6,13.9,18.9,8.7,6.2,15,39.1,14.4,47.7,5160786,3300531,258739,3297501,2646269,1561385,488702
Iowa,724.6,29.9,164.1,9.1,49.1,26.7,160.9,8.9,2.5,14.2,8,8.1,5,6.3,33.2,13.9,42.1,2447401,1656968,81735,1655245,1243285,787013,231180
Kansas,774.1,23.5,164.6,9.7,49.7,20.2,158.5,6.8,4.7,18.9,16.8,9.4,6.4,11,38.6,16.3,47.2,2247842,1507080,88454,1489651,1137752,702767,235069
Kentucky,924.7,34.9,195.9,12.6,64.3,28.2,197.8,8.8,5.8,19.3,19.7,8.1,6.6,17.1,40.8,17.1,66,3493098,2080437,174308,2065689,1791679,984377,314649
Louisiana,874.2,42.5,180.2,10.5,43.2,23.5,212.1,7.4,12.4,15.3,23.2,7.9,4.6,19.7,46,15.2,54.7,3634163,2208869,178150,2194199,1878391,1054418,358521
Maine,783.5,28.4,178,11.1,53.6,21.9,157.3,4.9,1.7,17.6,11.4,8.1,5.4,7.8,32.6,16,53.8,1098075,697913,47497,696184,566751,339823,76258
Maryland,705.7,16.4,155,6.7,30.7,18.3,169.3,7.7,10.3,17.7,12.3,7.2,5.7,13.5,37.8,8.8,29.7,4737405,3241222,238027,3214531,2473228,1591449,427387
Massachusetts,684.8,20.2,152.9,8.2,33,16.7,138.5,6.9,2.1,17.1,14.3,7.8,6.4,10.3,28.4,8.9,44,5479502,3700701,280164,3696139,2855334,1811178,428524
Michigan,784.4,30.1,168,10.8,47.5,22.5,198.9,7.3,6.4,15.2,15.6,8.1,4.3,10.3,37.6,13.8,43.9,7925988,4855005,477746,4851264,4074834,2329189,669288
Minnesota,653.8,26,153,8.5,36.4,18.6,116.6,7.6,2.8,10.9,9.7,9.6,3.5,6.6,33.5,13.2,42,4281141,2996985,167764,2994959,2170404,1437662,410714
Mississippi,963.7,44.1,188.4,11.1,57.1,32.4,240.5,15.3,11.3,24,22,7.8,6.3,20.2,52.6,14,59.8,2333154,1352993,138445,1342359,1216041,654997,225858
Missouri,816.9,28.7,173.4,9.6,52.8,19.7,197.9,6.7,9.6,17.9,19.9,7.7,7.3,11.6,40.8,17.1,50.9,4803676,3053938,226528,3034524,2474559,1470372,436814
Montana,762.7,20.7,156.9,15.7,50.2,24.5,155.8,4.4,4,13.7,9.3,8.5,4.9,8.7,33.8,25.3,56.3,814661,521330,32361,517807,406956,242771,72117
Nebraska,739.2,24.8,157.8,7.8,52.2,24.8,154.5,10.4,4,16.9,11.2,9.8,6.2,7,33.4,11.7,38.9,1454157,1020419,47602,1015736,737687,481573,151457
Nevada,757.2,32.9,157.2,14.5,54.1,13.4,200.9,6.6,6.7,21.3,10.5,7.5,3.7,6.7,37,18.4,45.4,2210559,1424596,148467,1415779,1103034,655542,209930
New Hampshire,720.6,25.5,161.3,9.3,41.9,17.9,149,5.3,,16.1,11.4,8.9,4.5,7,26.9,16.5,59,1087512,742874,42733,741543,554626,353764,77658
New Jersey,666,19.8,150.8,7.3,29.6,17.9,166.7,6.5,4.5,12.5,14.4,6.6,6.5,17.9,31.1,8.3,33.7,7120154,4702508,413343,4695103,3687226,2234535,626663
New Mexico,741.5,19.9,143.3,24.8,44.7,24.9,142.4,6.1,8,13.6,12.9,7.2,3.3,9.6,32.5,23.7,67.3,1633310,973891,88924,964959,830630,457025,161215
New York,644,12.6,148.4,6.7,29.9,17.1,181.6,9.3,3.4,20,9.3,5.3,4.4,10.9,26,7.8,30.2,15921937,10107278,829141,10083719,8299123,4875721,1354770
North Carolina,789.9,34.8,164.7,10.7,45.5,23.6,162.4,8.3,6.1,18.7,16,8.3,6.5,13.6,44.7,13.4,47.9,7812594,4909108,453420,4826193,4055732,2346294,712777
North Dakota,696.8,36.7,152.9,11.6,40,22.6,142.4,8.3,3.1,17.7,12.5,7.1,8.3,9.4,33.4,17.5,44.1,575611,404820,11464,399180,281644,183765,56173
Ohio,828.4,31.1,175.1,10.7,49.6,25.3,191.7,9.5,6,16.6,14.5,8,5.9,13.6,40.7,13.9,55.9,9229397,5852224,477251,5843924,4766718,2813202,810462
Oklahoma,904.3,34.7,184.3,13.7,65.8,32.4,234,11.4,8.5,16.5,14.2,7.8,5.3,9.5,43,20.3,60.1,3003180,1854061,115978,1835519,1529303,854441,304891
Oregon,722.3,33,160.2,13.7,42.4,22.9,136.1,11.1,3.4,9,8.2,8.9,3.4,4.6,37.5,17.8,44.5,3177669,1976314,184016,1973823,1619262,933697,267599
Pennsylvania,768.3,21,167.2,8.9,38.1,22.1,177.8,6.1,5.6,15.9,16.9,7.6,5.9,13.5,38.8,14,52,10384811,6521759,514993,6516882,5364887,3127547,836208
Rhode Island,721.9,28.8,163.1,10.6,36.9,20.2,160.4,7.1,2.8,16.2,9.8,8.4,5.6,10.4,27.1,11.2,53.1,865174,569623,48418,566588,451064,278199,65061
South Carolina,840,46.2,166.6,12.2,49.9,23.4,177.8,8.7,9.5,15.3,15.5,7.8,5.7,14.9,46.7,14.8,54,3816548,2323906,217977,2293251,1982553,1118818,335913
South Dakota,715.4,34.8,154,16.1,45.3,26.3,150.9,8.8,4.2,18.2,7.4,7.2,5,11.1,33.2,20.4,49.5,657804,453990,20220,451073,329772,213403,69049
Tennessee,886.4,43.4,180.5,12.2,54.9,23.4,207.3,8.6,7.2,23.3,14.4,8.4,7.5,12.1,46,15.7,56.4,5174955,3172519,266297,3155039,2682893,1512166,462246
Texas,745,38.2,149.2,13.8,41.3,21.2,171.6,8.3,5.6,13,16.1,8.5,5.7,17.2,42.7,12.5,37.4,20241168,13101788,912068,13006330,10283420,5951284,2265969
Utah,712.1,40.7,125.2,9.3,33.9,24.6,152.9,5.7,2,15.7,15.6,10.2,4.3,7,38.4,22.4,45.6,2096916,1423700,81870,1419516,1051523,626621,301674
Vermont,714.7,35.1,165.3,8.6,42.3,19.8,152.5,6.7,,10,4.5,10.2,2.5,5.9,36.4,14.8,48.4,519139,346162,18957,345689,266047,169145,35834
Virginia,721.6,25.6,159.5,9.6,37.1,21.9,154.2,7.5,4.5,15.7,16.1,7.4,6.7,13,38,12.7,39.6,6598956,4376786,276030,4266800,3384899,2075898,596284
Washington,687.4,44.4,156.4,12.4,39.7,22.4,137.6,7.4,3.4,10.7,5.9,8.7,7.4,6.3,34.2,15.4,41.9,5568640,3586261,277806,3537683,2805627,1648550,514350
West Virginia,943.4,30,190.4,14.2,64.6,31.7,191.3,11.9,4.5,21.2,20.4,6.7,6.4,13.9,43.8,17.4,77.9,1512183,815405,63341,814593,771906,379596,117864
Wisconsin,715.9,27.5,159.3,8.5,39.3,19.4,156,6.6,4.5,14.2,13.7,8.3,5.5,7.2,35.6,14.7,49.3,4583931,3079657,193763,3077153,2325371,1476928,404537
Wyoming,748.3,24.2,139.4,18.9,57.1,20.8,159.4,6.4,,16,13.3,6.8,3.3,7.1,31.4,28,65.8,456640,311371,15002,308951,224405,141128,44931
